Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Global Ocean Colour (GLOBCOLOR)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-GC-PLK
Data File Name,CMEMS_planktons_polygon_3_GreenAlgae_profile_Data.csv
Location,data-warehouse/csv/ESA/globcolor/plankton
Station Status,Active
Lat,-32.0335
Long,115.3217
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-globcolor-plankton-Ocean_Boundary_Polygon_3
Site Description,Ocean Boundary Polygon 3
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02720
Data Category,Ecology (Planktonic)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Green Algae
QC,NaN
